plate_number,camera_id,timestamp,confidence,source_image
GB24ALP,CAM01,01-09-2026 21:00,0.986,CAM01_2026-09-01_21-00-00.jpg
GB24ALP,CAM02,01-09-2026 21:47,0.816,CAM02_2026-09-01_21-47-00.jpg
GB24ALP,CAM03,01-09-2026 22:34,0.491,CAM03_2026-09-01_22-34-00.jpg
GB24ALP,CAM04,01-09-2026 23:21,0.647,CAM04_2026-09-01_23-21-00.jpg
GB24ALP,CAM05,02-09-2026 00:08,0.567,CAM05_2026-09-02_00-08-00.jpg
GB24ALP,CAM06,02-09-2026 00:55,0.969,CAM06_2026-09-02_00-55-00.jpg
GB24ALP,CAM07,02-09-2026 01:42,0.798,CAM07_2026-09-02_01-42-00.jpg
GB24ALP,CAM08,02-09-2026 02:29,0.519,CAM08_2026-09-02_02-29-00.jpg
GB24ALP,CAM01,02-09-2026 03:16,0.793,CAM01_2026-09-02_03-16-00.jpg
GB24ALP,CAM02,02-09-2026 04:03,0.527,CAM02_2026-09-02_04-03-00.jpg
